Clase,Clave,Tema,Subdivición.,,,,
0000,P,Antropología,Filosofía,,,,
0010,P,Antropología,"Historia, Biografía",,,,
0020,P,Antropología,"Publicaciones periódicas, informes de instituciones, sociedades, congresos, etc.",,,,
0030,P,Antropología,"Tratados generales, libros de texto, diccionarios, bibliografías, tablas.",,,,
0040,P,Antropología,"Discursos, conferencias.",,,,
0050,P,Antropología,Pedagogía,,,,
0060,P,Antropología,"Instituciones, Museos, Colecciones, etc. Economía.",,,,
0070,P,Antropología,"Nomenclatura (incluidas las reglas de nomenclatura, la transliteración, etc.)",,,,
0080,P,Antropología,Generalidades; Instrucciones,,,,
0085,P,Antropología,"Medición (antropometría, craneometría); instrumentos.",,,,
0090,P,Antropología,"Ilustración (aparato de dibujo, fotografía, radiografía).",,,,
0095,P,Antropología,Métodos estadísticos,,,,
0100,P,Antropología,Generalidades - Antropología anatómica Generalidades.,,,,
0110,P,Antropología,Forma y dimensiones del cuerpo.,,,,
0120,P,Antropología,Formas externas. (Véase también 06250.),,,,
0130,P,Antropología,Fisonomía.,,,,
0140,P,Antropología,Fisonomía - Dimensiones del cuerpo.,,,,
0142,P,Antropología,Fisonomía - Dimensiones del cuerpo - Crecimiento gigantesco.,,,,
0144,P,Antropología,Fisonomía - Dimensiones del cuerpo - Crecimiento enano.,,,,
0146,P,Antropología,Fisonomía - Dimensiones del cuerpo - Crecimiento patológico. (Ver también 01940.),,,,
0148,P,Antropología,Fisonomía - Dimensiones del cuerpo - Crecimiento patológico - Cretinismo.,,,,
0150,P,Antropología,Fisonomía - Dimensiones del cuerpo - Proporciones corporales.,,,,
0160,P,Antropología,Fisonomía - Dimensiones del cuerpo - Crecimiento. (Véase también 01920.),,,,
0170,P,Antropología,Fisonomía - Dimensiones del cuerpo - Apariencia relacionada con la edad.,,,,
0200,P,Antropología,Sistema óseo. (Ver también 0 2020 - 2220.),,,,
0220,P,Antropología,Sistema óseo - Cráneo (cráneo y esqueleto facial).,,,,
0240,P,Antropología,Medida.,,,,
0260,P,Antropología,Medida - Capacidad.,,,,
0280,P,Antropología,Medida - Capacidad - Personajes sexuales.,,,,
0300,P,Antropología,"Medida - Capacidad - Características zoológicas (parecido con los animales, etc.)",,,,
0340,P,Antropología,Medida - Capacidad - Deformación.,,,,
0350,P,Antropología,Medida - Capacidad - Deformación - Patológica.,,,,
0380,P,Antropología,Medida - Capacidad - Deformación - Artificial.,,,,
0400,P,Antropología,Medida - Columna vertebral.,,,,
0450,P,Antropología,Medida - Columna vertebral - Apéndice caudal.,,,,
0500,P,Antropología,Medida - Columna vertebral - Faja de hombro.,,,,
0550,P,Antropología,Medida - Pelvis.,,,,
0570,P,Antropología,Medida - Extremidades.,,,,
0580,P,Antropología,Medida - Extremidades - Manos.,,,,
0590,P,Antropología,Medida - Extremidades - Pies.,,,,
0600,P,Antropología,Sistema muscular. (Véase también 0 2260 - 2420; 0 4000 - 4190).,,,,
0650,P,Antropología,Sistema vascular. (Ver también 0 2460 - 2640; 0 5000 - 5900.),,,,
0700,P,Antropología,Sistema nervioso. (Ver también 0 4120 - 4950; 0 2000 - 2990.),,,,
0750,P,Antropología," Cerebro: convoluciones, peso. (Véase también 0 4360; 0 2710.)",,,,
0800,P,Antropología,Médula espinal.,,,,
0900,P,Antropología,Medida - Nervios.,,,,
1000,P,Antropología,Integrante. (Véase también 0 5000 - 5180; 0 8600 - 8690).,,,,
1020,P,Antropología,Integrante - Piel. (Ver también 0 5040.),,,,
1030,P,Antropología,Integrante - Piel - Huellas dactilares.,,,,
1050,P,Antropología,Integrante - Pelo. (Ver también 0 5080.),,,,
1060,P,Antropología,Integrante - Distribución del cabello.,,,,
1070,P,Antropología,Integrante - Crecimiento del cabello.,,,,
1090,P,Antropología,Integrante - Hiper e hipotricosis.,,,,
1100,P,Antropología,Pigmentación (lncl. color del pelo y del iris). (Véase también 0 0690; 1300 - 1360.) ,,,,
1200,P,Antropología, Pechos.,,,,
1250,P,Antropología," Pechos - Forma, tamaño.",,,,
1270,P,Antropología, Pechos - Polimastia.,,,,
1300,P,Antropología,Órganos del sentido. (Véase también 0 5220 - 5680; 0 3000 - 3790.),,,,
1350,P,Antropología,Órganos del sentido - Órgano del oído. (Ver también 0 3510.),,,,
1360,P,Antropología,Órganos del sentido - Oído externo.,,,,
1380,P,Antropología,Órganos del sentido - Órgano del olfato. (Ver también 0 3410.),,,,
1390,P,Antropología,Órganos del sentido - Nariz externa.,,,,
1400,P,Antropología,Ojo. (Véase también 0 4400 - 4460; 0 5380; 0 3710).,,,,
1450,P,Antropología,"Ojo - Párpados, ojo mongol.",,,,
1470,P,Antropología,Órganos vocales. (Véase también 0 9510; 0 4140 - 4142.),,,,
1500,P,Antropología,Órganos de la digestión y de la respiración. (Ver también 0 2880 -3380; 0 6000 - 7860.),,,,
1600,P,Antropología,Órganos de la digestión y de la respiración - Dientes. (Ver también 0 2940.),,,,
1700,P,Antropología,Sistema urogenital (órganos urinarios y sexuales). (Ver también 0 3400 - 4080; 0 8000 - 8200.),,,,
1750,P,Antropología,Sistema urogenital - Partes sexuales externas.,,,,
2000,P,Antropología,Generalidades - Antropología fisiológica Generalidades.,,,,
2010,P,Antropología,Fuerza corporal.,,,,
2040,P,Antropología,Actitud y movimiento. (Ver también 0 4100 - 4190.),,,,
2050,P,Antropología,Sentidos.,,,,
2090,P,Antropología,Expresión de las emociones. (Ver también 0 4153.),,,,
2100,P,Antropología,Cruce racial.,,,,
2150,P,Antropología,"Pubertad, fertilidad, nacimiento. (Ver también 0 0160.)",,,,
2170,P,Antropología,Responsabilidad racial ante la enfermedad.,,,,
2180,P,Antropología,Peculiaridades raciales debidas al entorno (Ver también 0 0150.) ,,,,
2200,P,Antropología,Herencia: Atavismo. (Véase también L 2700 ; 01540; 0 0110.) ,,,,
2230,P,Antropología,Signos de degeneración. (Ver también L 5800; 0 1560.),,,,
2240,P,Antropología,Dieta (Ver también 0 1810.),,,,
2250,P,Antropología,Generalidades - Antropología física social.,,,,
2260,P,Antropología,Varias clases de población.,,,,
2300,P,Antropología,Enfermos mentales.,,,,
2400,P,Antropología,Antropología criminal.,,,,
2500,P,Antropología,Generalidades - Antropología Comparada (Zoológica).,,,,
2520,P,Antropología,Anatomía de los antropoides.,,,,
2550,P,Antropología,Descenso del hombre. (Véase también L 4300; 0 1520.),,,,
2600,P,Antropología,Distribución geográfica de los tipos raciales.,,,,
2700,P,Antropología,Varia no se puede colocar correctamente en otro lugar.,,,,
3000,P,Antropología,Generalidades - Antropología Física Especial,,,,
3200,P,Antropología,Antropología Física Especial - Antropología de la Prehistoria y de las primeras edades históricas.,,,,
3300,P,Antropología, La antigüedad del hombre.,,,,
